sender,Guatemala,El Progreso,Sacatepéquez,Chimaltenango,Escuintla,Santa Rosa,Sololá,Totonicapán,Quetzaltenango,Suchitepéquez,Retalhuleu,San Marcos,Huehuetenango,Quiché,Baja Verapaz,Alta Verapaz,Petén,Izabal,Zacapa,Chiquimula,Jalapa,Jutiapa
Alabama,0,0,0,0,0,0,0,246,0,0,0,0,4832,2037,0,2085,0,0,0,0,0,0
Arkansas,0,0,0,2384,0,0,0,0,503,0,1067,1490,236,0,0,290,0,0,0,1054,0,0
Arizona,3048,0,0,523,0,0,0,0,7063,2870,2134,2235,944,921,0,0,802,0,396,589,0,0
California,165041,6918,3018,10825,33819,10815,8773,17061,43227,21828,23287,39117,40048,8033,9614,13435,9635,18976,11746,11997,6660,17985
Colorado,4299,0,0,0,1060,0,213,0,0,1627,0,1863,2396,598,0,580,905,0,916,2759,833,0
District of Columbia,9796,0,1287,298,4084,2462,0,246,634,1627,1067,5960,1336,614,1582,2430,1203,910,1584,6169,3328,6460
Delaware,0,0,0,0,491,0,0,0,0,0,2134,2235,0,0,0,0,0,0,0,0,0,0
Florida,18940,2405,1716,1119,9361,5072,0,5962,11480,2680,3179,17882,37756,9149,1339,4680,4124,5359,7080,5766,8328,9525
Georgia,6383,1576,0,596,1707,597,0,246,9075,0,0,17137,7820,905,0,1560,1008,1483,0,589,1665,830
Iowa,0,0,0,0,0,0,0,0,0,479,0,0,11,0,0,0,1203,0,0,0,0,0
Illinois,12922,481,1287,4257,3024,2388,0,0,634,1437,0,4098,5068,889,487,1270,802,4348,4208,2759,833,1660
Indiana,1042,0,0,0,491,0,0,0,1006,0,1056,621,904,291,0,0,802,573,0,0,0,0
Kansas,0,481,0,596,0,0,298,0,0,0,0,745,236,307,730,925,0,0,0,589,0,0
Kentucky,521,0,0,0,0,0,0,0,0,574,0,0,1728,1164,0,0,401,0,0,0,0,0
Louisiana,443,0,0,0,0,0,0,0,0,0,0,745,236,0,4748,290,401,0,0,0,0,0
Massachusetts,15605,1228,1287,596,3515,1268,298,0,3673,5934,5302,22599,0,2360,365,1505,2211,5022,2500,1705,4992,7705
Maryland,2527,1842,0,0,1138,1194,0,0,3914,479,1056,745,0,0,487,580,2910,5258,0,5890,0,6045
Minnesota,521,0,0,0,0,671,0,0,1268,574,0,0,432,582,365,0,0,0,396,0,0,0
Missouri,1563,0,0,0,1707,0,0,0,503,574,0,745,432,0,0,0,0,573,0,0,0,0
Mississippi,0,481,0,0,0,0,0,0,634,0,0,4470,944,0,974,290,0,0,0,0,0,0
North Carolina,2892,0,0,0,569,0,0,1230,2012,0,0,1490,5108,1180,0,0,1707,0,458,1178,0,415
Nebraska,1042,0,873,0,569,2013,0,0,634,574,2134,621,2948,291,0,0,401,0,458,0,0,0
New Jersey,11724,0,0,0,982,1268,0,492,1902,574,0,621,708,5059,0,0,1203,0,4394,3410,3330,1990
New Mexico,521,0,3936,0,491,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Nevada,4898,0,0,0,2767,2536,0,0,0,2106,1056,745,0,0,487,1215,401,0,3416,1767,1665,3395
New York,60133,8361,6021,12011,16056,11935,6217,3010,19591,11013,0,15770,4832,9747,3894,18280,8351,15504,7166,20398,14154,15080
Ohio,521,0,0,523,0,0,0,246,0,0,0,0,668,889,0,1270,0,0,0,0,0,0
Oklahoma,964,0,0,0,569,0,0,0,1640,958,1056,0,236,0,487,0,0,0,0,0,0,745
Oregon,2084,481,0,0,0,0,0,0,634,479,1056,0,2240,0,0,580,0,573,458,1116,0,0
Pennsylvania,964,481,0,894,0,0,0,0,1268,479,0,5091,0,889,6817,1740,5430,910,3540,589,0,1490
Rhode Island,1928,0,1716,0,982,0,0,0,0,0,0,1490,0,4122,0,635,0,0,2290,1178,0,0
South Carolina,0,0,0,0,0,0,0,0,1509,0,0,2732,3536,291,0,0,0,0,0,0,0,0
Tennessee,2605,0,0,0,0,0,213,0,1268,0,0,745,7348,614,7182,580,401,0,0,0,0,745
Texas,25844,1924,1716,2682,13702,5146,9112,11114,10846,6223,3168,8196,4912,5916,2678,8560,3620,2629,5062,3472,1666,9780
Utah,521,0,0,0,0,0,0,0,503,0,0,0,236,0,0,290,0,0,0,0,0,0
Virginia,3491,614,0,298,1060,0,0,0,5575,0,1056,2111,6912,0,5112,6530,4124,0,1374,0,0,1575